state,BN_Malay_support,PH_Malay_support,PN_Malay_support,unsure,BN_Chinese_support,PH_Chinese_support,PN_Chinese_support,BN_Indian_support,PH_Indian_support,PN_Indian_support,BN_Others_support,PH_Others_support,PN_Others_support
Perlis,37.5,25.5,20.8,12.5,15,80,5,25,70,5,40,30,30
Kedah,27.3,19.3,31.4,15,15,80,5,25,70,5,40,30,30
Kelantan,27.3,19.3,31.4,15,15,80,5,25,70,5,40,30,30
Terengganu,27.3,19.3,31.4,15,15,80,5,25,70,5,40,30,30
Pulau Pinang,31.4,30.4,14.2,17.2,15,80,5,25,70,5,40,30,30
Perak,37.5,25.5,20.8,12.5,15,80,5,25,70,5,40,30,30
Pahang,44,19,12,18,15,80,5,25,70,5,40,30,30
Selangor,31.4,30.4,14.2,17.2,15,80,5,25,70,5,40,30,30
W.P. Kuala Lumpur,27.3,25.6,15.3,23.3,15,80,5,25,70,5,40,30,30
W.P. Putrajaya,27.3,25.6,15.3,23.3,15,80,5,25,70,5,40,30,30
Negeri Sembilan,31.7,22,16.2,23.4,15,80,5,25,70,5,40,30,30
Melaka,42.7,20.2,13,19.5,15,80,5,25,70,5,40,30,30
Johor,43.2,16.7,17.5,18.1,15,80,5,25,70,5,40,30,30
W.P. Labuan,27.3,25.6,15.3,23.3,15,80,5,25,70,5,40,30,30
